gene	helper_subset
RORC	Th17_Th1
RORA	Th17_Th1
IL17A	Th17_Th1
IL17F	Th17_Th1
CCR6	Th17_Th1
STAT3	Th17_Th1
BATF	Th17_Th1
IL21	Th17_Th1
IL32	Th17_Th1
CCL5	Th17_Th1
IL22	Th17_Th1
LTA	Th17_Th1
IFNG	Th17_Th1
CXCR3	Th17_Th1
GATA3	Th2
PPARG	Th2
VDR	Th2
IL6ST	Th2
IL4	Th2
IL5	Th2
IL6	Th2
IL13	Th2
IL1RL1	Th2
IGFBP7	Th2
IL4R	Th2
STAT5B	Th2
STAT5A	Th2
STAT6	Th2
