sample,fastq_1,fastq_2,replicate
treg_nt,raw/TN-ATAC-1-T-regs-NT-270624-rep1_R1_001.fastq.gz,raw/TN-ATAC-1-T-regs-NT-270624-rep1_R2_001.fastq.gz,1
treg_nt,raw/TN-ATAC-1-T-regs-NT-17-rep2_R1_001.fastq.gz,raw/TN-ATAC-1-T-regs-NT-17-rep2_R2_001.fastq.gz,2
treg_nt,raw/TN-ATAC-1-T-regs-NT-18-rep3_R1_001.fastq.gz,raw/TN-ATAC-1-T-regs-NT-18-rep3_R2_001.fastq.gz,3
treg_sat1oe,raw/TN-ATAC-1-T-regs-SAT1-OE-270624-rep1_R1_001.fastq.gz,raw/TN-ATAC-1-T-regs-SAT1-OE-270624-rep1_R2_001.fastq.gz,1
treg_sat1oe,raw/TN-ATAC-1-T-regs-SAT1-OE-17-rep2_R1_001.fastq.gz,raw/TN-ATAC-1-T-regs-SAT1-OE-17-rep2_R2_001.fastq.gz,2
treg_sat1oe,raw/TN-ATAC-1-T-regs-SAT1-OE-18-rep3_R1_001.fastq.gz,raw/TN-ATAC-1-T-regs-SAT1-OE-18-rep3_R2_001.fastq.gz,3
